Distance_Feature,Speeding_Feature
86.0200991471302,41.64065540480092
15.385179354675172,2.7854505202650093
38.388799769212866,17.00218376953348
11.138560235191097,31.46446717676167
91.48701023363284,32.88653756345263
56.50443734152992,13.674968311562857
95.72892451576553,38.96209354185101
44.6796770427611,11.639666950566173
66.48715845411337,1.8234403739175509
50.63486984875296,32.55672716305506
0.1754682341468472,42.95811293452511
71.3107477864456,27.51453776405459
27.324584259466576,24.662379759733984
10.410364089822966,46.8155449192676
22.63975399086152,31.199135187592674
80.68523655165225,17.618787486157288
33.9449641746617,45.792747288432444
8.200667190587275,42.50514534333465
2.921222361410414,42.92931632433557
12.641531154051178,8.34960623742582
53.092945575241146,13.75758806431055
39.73999897109225,13.286994947353975
88.61067595144637,38.08130847728529
79.72606115033538,40.7889327335542
86.820109350842,16.008284179405543
57.04381255661243,49.59190094112838
1.7073564001027663,36.23354800135807
97.4033240613031,30.372723611400133
49.64535589857023,13.045856980107951
88.04535304664402,37.94152705763892
81.86482778165893,9.138222695702359
78.90040405101901,48.71329279338983
76.69480886382736,15.596531285283666
78.63599162333719,34.53950925241912
29.622667170566185,35.17026200339212
23.858203969078872,39.565628393023864
12.032956514637327,38.47149277454243
4.0356992463129515,28.298721564861513
61.684543638807746,40.14832183994794
35.209414309458865,22.531036991863967
48.38991216211992,30.537734653642957
77.77336526239264,10.747376491589034
13.873077624799846,28.83289352652009
12.950468300678807,33.77313108357415
78.07950327461984,28.423975000344043
91.07963867039265,36.983205015766714
60.32530776219025,31.875376508327246
61.974297715286475,3.4170916521669037
44.53285460256967,15.700779375062096
55.14851860919596,2.4735452533145685
50.51973999548199,41.78798002749485
54.321209788398875,6.357925948520621
36.917817668254074,6.476619886557344
14.586794770325684,21.615335694604404
80.11169905872772,33.513541224096436
51.06976807496471,36.66278243958957
67.3400008682829,37.98236300420866
23.44276854924543,23.387305685160154
57.64614136822508,46.712795892736665
70.09136391755362,22.743714983239606
50.89452136894068,33.323129220443846
25.781317342520516,3.112690362785131
75.53627839593999,29.494862418075
31.543428602117572,12.063052973518108
6.3305786408592635,49.173303243562415
29.2411631511988,40.58394574923502
8.705669609756017,7.358928610972814
16.709092368247415,17.02180818518556
45.96849463983137,29.058929076949745
28.652406256734498,20.557756453827768
86.98656774122887,43.25929444813158
69.02348460668509,23.968453455317736
28.527994377892707,31.63072973974787
6.799151828028604,24.921948389008357
12.735641942723852,47.44846278016354
51.99076716755033,42.28399960431769
85.59979468624326,33.98779019837572
51.04431520513997,49.81925688894343
20.261912861368504,26.236055329733567
86.49445557108503,30.576929108351553
41.18175706196347,14.974916245798331
42.43760214306784,10.413724642957833
83.47543344880953,11.095319194765318
13.536685610667309,41.192182604336466
21.708228421401987,42.56255493815921
33.589436122667095,11.930442602670215
28.207897612043176,46.402384238490086
41.61402550042234,12.663953682718931
95.7182950709025,33.74253799465245
23.574347214779433,27.470343485226195
13.652629618330147,44.481072315066044
72.60544627669194,17.927501080145706
72.7462174663774,21.22564116787487
46.954477221542575,30.92125716989889
85.17409359254302,45.87417310419655
87.62585960318269,38.000478677158846
27.893261239454368,43.238676494270074
28.073331149211434,35.045213344273144
92.65204749436418,13.271549750076561
57.43133943062,16.007732360227223
